#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
EVTDESCwildfire.184;During the fall of [FromFromFromFrom.GetName] to siege, the crazed [From.GetTitledFirstNameWithDynasty] had massive stockpiles of wildfire hidden in [FromFromFromFrom.Location.GetName] ignited in a massive explosion! Soon the whole place was engulfed in green wildfire which consumed all those present, both friend and foe, in a burning hell....;;;;Durante la caída de [FromFromFromFrom.GetName] al asedio, el enloquecido [From.GetTitledFirstNameWithDynasty] tenía acumulaciones masivas de Fuego Valyrio escondidas en [FromFromFromFrom.Location.GetName] y las incendio en una explosión masiva. Pronto todo el lugar quedó envuelto en un fuego verde que consumió a todos los presentes, tanto amigos como enemigos, en un ardiente infierno...;;;;;;;;;x
EVTOPTAwildfire.184;Madness! Utter madness!;;;;¡Locura! !Una completa locura!;;;;;;;;;x
EVTDESCwildfire.185;During the chaotic fall of [FromFrom.GetName] to the besieging invaders, you came across [From.GetTitledFirstNameNoRegnal] in frantic conversation with [From.GetHerHis] pyromancers. You can't help but overhear [From.GetHerHim] ordering them to ignite massive stocks of wildfire so that [FromFrom.Location.GetName] is destroyed!;;;;Durante la caída caótica de [FromFrom.GetName] a los invasores asediados, te topaste con [From.GetTitledFirstNameNoRegnal] en una conversación frenética con los piromantes. No puedes evitar escuchar ordenándoles que enciendan grandes cantidades de pólvora para que [FromFrom.Location.GetName] se destruya!;;;;;;;;;x
EVTOPTAwildfire.185;No, I am handing you other to the enemy!;;;;No, ¡te estoy entregando otro al enemigo!;;;;;;;;;x
TOOLTIPwildfire.185;You and your guards subdue [From.GetTitledFirstNameNoRegnal] and hand [From.GetHerHim] over to [siege_leader.GetTitledFirstNameWithDynasty];;;;Usted y sus guardias someten a [From.GetTitledFirstNameNoRegnal] y a [siege_leader.GetTitledFirstNameWithDynasty];;;;;;;;;x
EVTOPTBwildfire.185;The [From.GetTitle]'s madness ends here!;;;;¡La locura de [From.GetTitle] termina aquí!;;;;;;;;;x
TOOLTIPwildfire.185B;You kill [From.GetTitledFirstNameNoRegnal] to stop [From.GetHerHim] destroying the city;;;;Matas a [From.GetTitledFirstNameNoRegnal] para detenerlo que destruya la ciudad;;;;;;;;;x
EVTDESCwildfire.186;The pyromancers were about to fulfill your orders, when [From.GetTitledFirstNameWithDynasty] appeared. [From.GetSheHeCap] proceeds to kill the pyromancers and take you under armed guard to [siege_leader.GetTitledFirstNameWithDynasty]!;;;;Los piromantes estaban a punto de cumplir sus órdenes cuando apareció [From.GetTitledFirstNameWithDynasty]. [From.GetSheHeCap] procede a matar a los piromantes y te lleva bajo guardia armada a [siege_leader.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTOPTAwildfire.186;You will burn traitor! Burn! BURN!;;;;¡Quemar al traidor! ¡Quemar! ¡QUEMAR!;;;;;;;;;x
EVTDESCwildfire.187;After the successful siege of [FromFromFromFrom.GetName], [FromFrom.GetTitledFirstNameWithDynasty] arrived at the command tent with the raving [From.GetTitledFirstNameWithDynasty] in chains. [FromFrom.GetTitledFirstNameNoRegnal] says [From.GetTitledFirstNameNoRegnal] was about to destroy the settlement in a massive wildfire explosion before [FromFrom.GetSheHe] managed to stop it.;;;;Después del asedio exitoso de [FromFromFromFrom.GetName], [FromFrom.GetTitledFirstNameWithDynasty] llegó a la capital.[From.GetTitledFirstNameWithDynasty] en cadenas. [FromFrom.GetTitledFirstNameNoRegnal] dice que [From.GetTitledFirstNameNoRegnal] estaba a punto de destruir el asentamiento en una explosión masiva de incendios forestales antes de que lograra detenerlo.;;;;;;;;;x
EVTOPTAwildfire.187;Very good;;;;Muy bien;;;;;;;;;x
EVTDESCwildfire.188;The pyromancers were about to fulfill your orders, when [From.GetTitledFirstNameWithDynasty] appeared. [From.GetSheHeCap] looks at you with contempt, before plunging a sword in your back!;;;;Los piromantes estaban a punto de cumplir sus órdenes cuando apareció [From.GetTitledFirstNameWithDynasty]. [From.GetSheHeCap] te mira con desprecio, ¡antes de hundir una espada en tu espalda!;;;;;;;;;x
EVTOPTAwildfire.188;Burn them, burn them all.....;;;;Quemarlos, quemarlos a todos...;;;;;;;;;x
EVTDESCwildfire.189;It has been reported that during the fall of [FromFromFromFrom.GetName] to siege the crazed [From.GetTitledFirstNameWithDynasty] has been slain by [FromFrom.GetTitledFirstNameWithDynasty]! [FromFrom.GetTitledFirstName] claims [From.GetTitledFirstNameNoRegnal] was about to destroy the settlement with wildfire.;;;;Se ha informado que durante la caída de [FromFromFromFrom.GetName] para asediar a [en.from.GetTitledFirstNameWithDynasty], el enloquecido [From.GetTitledFirstNameWithDynasty] ha sido asesinado. Las reclamaciones [FromFrom.GetTitledFirstName] [From.GetTitledFirstNameNoRegnal] estaban a punto de destruir el asentamiento con Fuego Valyrio.;;;;;;;;;x
EVTOPTAwildfire.189;That would seem unlikely;;;;Eso parece poco probable;;;;;;;;;x
EVTDESC_MNM_1121;To [Root.GetSocietyRank] [Root.GetFirstName],\n\nIt has come to my attention that you still lack a proper office of Alchemy! How can you hope to uncover the secrets of the Guild without the proper tools or staff? You should build one or your work will fade into obscurity.\n\nAs above, so below.\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetSocietyRank] [Root.GetFirstName],\nJ'ai appris que vous manquiez toujours d'une salle d'alchimie convenable ! Comment pouvez espérer découvrir les secrets d'[Root.GetHermesThriceBlessed], sans les outils appropriés ni le personnel. Vous devriez en construire une ou vos travaux tomberont dans l'oubli.\nCe qui est en haut, tel est en bas.\nSigné, [From.GetSocietyRank] [From.GetFirstName];An [Root.GetSocietyRank] [Root.GetFirstName],\n\nmir ist zu Ohren gekommen, dass es Euch noch immer an einem geeigneten Alchemielabor mangelt! Selbst ich kann nicht begreifen, wie Ihr Euch ohne geeignete Werkzeuge oder Gehilfen erhoffen könnt, die Geheimnisse von [Root.GetHermesThriceBlessed] zu entschleiern. Mein Labor erregt den Neid jedes Gelehrten und ist im Lauf der Zeit zu einem zweiten Zuhause für mich geworden. Ihr solltet danach streben, es mir gleichzutun, sonst wird Eure Arbeit schon bald in Vergessenheit geraten.\n\nWie oben, so unten.\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetSocietyRank] [Root.GetFirstName]:\n\n¡Ha llegado a mi conocimiento que aún te falta un laboratorio de alquimia adecuado! Ni siquiera yo logro comprender cómo esperas desvelar los secretos de [Root.GetHermesThriceBlessed] sin las herramientas o el personal adecuados. Mi laboratorio es la envidia de cualquier hombre docto, y se ha convertido en un hogar para mí. Deberías tratar de imitarme, o tu trabajo se sumirá en el olvido.\n\nComo arriba, es abajo.\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_MNM_1121_apprentice;To [Root.GetSocietyRank] [Root.GetFirstName],\n\nMaster, I feel we are both held back by the lack of a proper office of Alchemy. If we are to uncover the secrets of the Guild we will need the proper tools and work space. Unless you build a laboratory or our work here will fade into obscurity.\n\nAs above, so below.\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetSocietyRank] [Root.GetFirstName],\nJe sens que nous sommes tous deux freinés par l'absence d'un bureau d'alchimie convenable. Si nous voulons découvrir les secrets d'[Root.GetHermesThriceBlessed], nous aurons besoin des outils appropriés et d'un espace de travail. À moins que vous construisiez un laboratoire, vos travaux tomberont dans l'oubli.\n\nCe qui est en haut, tel est en bas.\nSigné, [From.GetSocietyRank] [From.GetFirstName];An [Root.GetSocietyRank] [Root.GetFirstName],\n\nMeister, ich finde, dass wir beide durch den Mangel eines richtigen Alchemielabors gehemmt werden. Wenn wir die Geheimnisse von [Root.GetHermesThriceBlessed] ergründen wollen, brauchen wir die richtigen Werkzeuge und den nötigen Arbeitsraum. Baut ein Labor, sonst wird unsere Arbeit hier schon bald in Vergessenheit geraten.\n\nWie oben, so unten.\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetSocietyRank] [Root.GetFirstName]:\n\nMaestro/a, siento que la falta de un laboratorio de alquimia adecuado nos está limitando. Si pretendemos desvelar los secretos de [Root.GetHermesThriceBlessed], necesitaremos las herramientas y el espacio de trabajo adecuados. A menos que construyas un laboratorio, nuestro trabajo quedará sumido en el olvido.\n\nComo arriba, es abajo.\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_MNM_1122_normal;With a laboratory of my own I can proceed to perform greater works than ever before. How I ever got by without a dedicated workspace and the right tools I will never understand. The secrets of the Guild shall be mine!;Avec mon propre laboratoire, je peux réaliser des travaux plus grands que jamais. Comment ai-je pu me passer d'un espace de travail dédié et des bons outils ? Je ne le comprendrai jamais. Les secrets d'[Root.GetHermesThriceBlessed] seront à moi !;Mit einem eigenen Labor kann ich größere Werke als je zuvor verrichten. Ich werde nie verstehen, wie ich jemals ohne einen speziellen Arbeitsraum und ohne die richtigen Werkzeuge zurande kommen konnte. Die Geheimnisse von [Root.GetHermesThriceBlessed] werden mein sein!;;Con un laboratorio propio, puedo seguir realizando trabajos más extraordinarios que nunca. No sé cómo he podido trabajar sin un espacio apropiado y sin las herramientas adecuadas. ¡Los secretos de [Root.GetHermesThriceBlessed] serán míos!;;;;;;;;;x
EVTDESC_MNM_1122_rich;My new laboratory is the envy of both those that now live and all that came before me. I dare say even most Grand Masters of the guild would be impressed by the setup I now employ to uncover the hidden secrets of matter and spirit.;Mon nouveau laboratoire est envié par tous les vivants et tous ceux qui ont vécu avant moi. J'ose même dire qu'[Root.GetHermesThriceBlessed] serait lui-même impressionné par les installations que j'utilise maintenant pour découvrir les secrets cachés de la matière et de l'esprit.;Mein neues Labor erregt den Neid meiner Zeitgenossen und meiner Vorgänger zugleich. Ich wage zu behaupten, dass sogar [Root.GetHermesThriceBlessed] selbst von der Einrichtung beeindruckt wäre, die ich jetzt dazu nutze, die verborgenen Geheimnisse von Materie und Geist zu ergründen.;;Mi laboratorio nuevo es la envidia tanto de aquellos que viven como de los que vinieron antes que yo. Casi me atrevo a decir que el propio [Root.GetHermesThriceBlessed] estaría impresionado por las herramientas que empleo actualmente para desvelar los secretos ocultos de la materia y del espíritu.;;;;;;;;;x
