job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
EVTDESC_RIP_11025;Your delirium has lifted and your temperature is back to normal. You have beaten Winter Fever.;Vous ne délirez plus et votre température est de retour à la normale. Vous avez pris le dessus sur la fièvre d'hiver.;Der Fieberwahn ist verflogen und Eure Körpertemperatur ist wieder im normalen Bereich. Ihr habt das schleichende Fieber überstanden.;;Tus delirios han pasado y la temperatura ha vuelto a la normalidad. Has vencido a la Fiebre tifoidea.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever;[From.GetTitledName] is fairly sure you are developing Winter Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] a presque la certitude que vous avez la fièvre d'hiver. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído Fiebre tifoidea. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_horse;[From.GetTitledName] is fairly sure you are developing Winter Fever, although so far your condition is stable. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] a presque la certitude que vous avez la fièvre d'hiver, bien que jusqu'ici votre état est stable. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions afin de soigner cette fièvre de cheval.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt, auch wenn Eure Verfassung noch stabil ist. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído Fiebre tifoidea, aunque hasta ahora tu estado es estable. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Winter Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la fièvre d'hiver. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que [From.GetHerHis]s amplia experiencia médica [From.GetHerHim] lleva a la conclusión de que has contraído Fiebre tifoidea. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_sure;[From.GetTitledName] is sure you are developing Winter Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] a la conviction que vous avez la fièvre d'hiver. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está seguro/a que has contraído Fiebre tifoidea. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing Winter Fever, or something like that. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] suggère avec hésitation que vous avez probablement la fièvre d'hiver ou quelque chose du genre. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] zieht zögerlich in Erwägung, dass Ihr möglicherweise Anzeichen von schleichendem Fieber oder etwas Ähnlichem zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudoso/a que puede que hayas contraído Fiebre tifoidea o algo parecido. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESCRIP.5029;You feel as if you are burning up and at times you have difficulties distinguishing between dreams and reality. You have contracted Winter Fever.;Vous vous sentez comme si vous brûliez et par moment vous avez des difficultés à distinguer les rêves et la réalité. Vous avez contracté la fièvre d'hiver.;Ihr habt das Gefühl, innerlich zu verbrennen und könnt manchmal Traum und Realität nicht auseinanderhalten. Ihr habt schleichendes Fieber.;;Te sientes arder y a veces te cuesta distinguir entre sueños y realidad. Has contraído la Fiebre tifoidea.;;;;;;;;;x
EVTDSC_RIP_5060_TYPHOID;These are dark days. My [From.GetRootRelation], [From.GetTitledFirstName], has been beset by a high fever for several days and I have just been informed that [From.GetHerHis] affliction is indeed winter fever.;Les temps sont durs. Mon(ma) [From.GetRootRelation] [From.GetTitledFirstName] a eu une forte fièvre pendant plusieurs jours et je viens juste d'être informé que son affliction est en fait la fièvre d'hiver.;Dies sind finstere Tage. Mein [From.GetRootRelation] [From.GetTitledFirstName] wird seit mehreren Tagen von hohem Fieber gepeinigt, und ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um Typhus handelt.;;Son días oscuros. Mi [From.GetRootRelation], [From.GetTitledFirstName], sufre una grave fiebre desde hace varios días y acaban de informarme que su enfermedad es claramente la fiebre lenta.;;;;;;;;;x
TYPHOID_FEVER_INFO;Winter Fever is loose in this province.;La fièvre d'hiver sévit dans cette province.;In diesem Land ist typhoides Fieber bzw. schleichendes Fieber ausgebrochen.;;La fiebre tifoidea o fiebre lenta recorre este país.;;;;;;;;;x
has_typhoid_fever;Has Winter Fever;A la fièvre d'hiver;Hat schleichendes Fieber;;Padece de fiebre lenta;;;;;;;;;x
has_typhoid_fever_desc;This character suffers from the terrible disease known as the Winter Fever.;Ce personnage est atteint d'un terrible mal appelé fièvre d'hiver.;Dieser Charakter leidet am fürchterlichen schleichenden Fieber (Typhus).;;Este personaje padece de la terrible enfermedad conocida como la fiebre lenta (fiebre tifoidea).;;;;;;;;;x
has_typhoid_fever_death;of the Winter Fever;de la fièvre d'hiver;an Mittelmeerfieber;;de la fiebre lenta;;;;;;;;;x
EVTDSC_RIP_5060_SMALLPOX;These are dark days. My [From.GetRootRelation], [From.GetTitledFirstName], has been beset by oozing lesions and a high fever. I have just been informed that [From.GetHerHis] affliction is indeed a pox.;Les temps sont durs. Mon(ma) [From.GetRootRelation] [From.GetTitledFirstName] a eu des lésions suintantes et une forte fièvre. Je viens juste d'être informé que son affliction est en fait la petite vérole.;Dies sind finstere Tage. Mein [From.GetRootRelation] [From.GetTitledFirstName] wird von nässenden Wunden und hohem Fieber gepeinigt. Ich habe gerade erfahren, dass es sich bei [From.GetHerHis] Krankheit fürwahr um die Pocken handelt.;;Son días oscuros. Mi [From.GetRootRelation], [From.GetTitledFirstName], sufre escaras supurantes y una grave fiebre. Acaban de informarme que su enfermedad es claramente la viruela.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox;[From.GetTitledName] is worried that you may be developing a Pox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_horse;[From.GetTitledName] is worried that your rein may be at an end, as you seem to be developing a Pox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] hofft, nicht aufs falsche Pferd gesetzt zu haben, befürchtet aber, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante seguro/a que has contraído la Viruela, una enfermedad que puede provocar un estado mental alterado. [From.GetSheHeCap] hace una pausa para sacudir [From.GetHerHis] cabellera, y pisa el suelo con sus cascos antes de advertirte que estés atento a señales de delirio. [From.GetTitledName] insiste que has relinchado que seguirás [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing a Pox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que [From.GetHerHis]s amplia experiencia médica [From.GetHerHim] lleva a la conclusión de que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_sure;[From.GetTitledName] is worried that you are developing a Pox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] craint que vous n'ayez la petite vérole. [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está seguro/a que has contraído la Viruela. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_uncertain;[From.GetTitledName] reckons that you are may be developing a Pox, which is probably not too bad since it is small. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.GetTitledName] croit que vous avez la petite vérole, ce qui n'est probablement pas grave, puisque c'est la 'petite.' [From.GetSheHeCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Anzeichen von Blattern zeigen könntet, was aber vermutlich kein Grund zur Sorge sein sollte. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudoso/a que puede que hayas contraído la Viruela, lo que no será demasiado grave porque es pequeña. [From.GetSheHeCap] insiste que sigas [From.GetHerHis]s instrucciones.;;;;;;;;;x
EVTDESCRIP.5030;Yesterday lesions appeared on your face and swiftly spread across your body. Now they have turned to blisters filled with pus. You have contracted a Pox. ;Hier, des lésions sont apparues sur votre visage et rapidement sur tout le corps. À présent, elles ont évolué en cloques remplies de pus. Vous avez contracté la petite vérole.;Gestern erschienen Flecken auf Eurem Gesicht, die sich rasch über Euren Körper ausbreiteten und sich zu eitergefüllten Pusteln entwickelten. Ihr habt die Blattern. ;;Ayer aparecieron lesiones en tu cara y rápidamente se extendieron por todo el cuerpo. Ahora se han convertido en ampollas llenas de pus. Has contraído la Viruela.;;;;;;;;;x
has_small_pox;Pox;Petite vérole;Blattern;;Viruela;;;;;;;;;x
EVTDESC_RIP_11029;The many blisters on your body have faded, almost all of them gone now. So much for the Pox.;Les nombreuses cloques sur votre corps se sont progressivement estompées et ont presque toutes disparu à présent. C'en est fini de la petite vérole.;Die zahllosen Bläschen an Eurem Körper sind zurückgegangen und nahezu vollständig verschwunden. Die Blattern sind Geschichte.;;Las ampollas de tu cuerpo se han esfumado, la mayoría de ellas se han ido. La Viruela no era para tanto.;;;;;;;;;x
has_small_pox_desc;This character has the dreaded Pox, which kills many of those infected.;Ce personnage est atteint d'un terrible mal appelé petite vérole.;Dieser Charakter hat die gefürchteten Blattern, an denen fast die Hälfte der Erkrankten stirbt.;;Este personaje tiene la temida viruela, enfermedad que ha matado a casi la mitad de los infectados.;;;;;;;;;x
small_pox;Pox;petite vérole;Blattern;;Viruela;;;;;;;;;x
SMALL_POX_INFO;A Pox has struck this county, killing many of those infected.;La petite vérole a frappé cette province, tuant près de la moitié des personnes infectées.;Dieses Land wurde von einer Blatternepidemie getroffen. Fast die Hälfte der Infizierten sind gestorben.;;La viruela ha golpeado este país matando a casi la mitad de los infectados.;;;;;;;;;x
