#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_martial_ties;Married Close Relative;Marié avec un parent proche;Naher Verwandter geheiratet.;Married Close Relative;Casado con un pariente cercano;;;;;;;;;x
not_dejure_liege;Not De Jure Liege;Pas suzerain de jure;Kein De Jure Lehnsherr;Not De Jure Liege;No soberano de jure;;;;;;;;;x
not_dejure_liege_desc;This character resents being ruled by a liege who has no natural rights to their land.;Ce personnage en veut à son suzerain qui n'a aucun droits naturels sur ces terres.;Dieser Charakter nimmt übel, durch eine Lehnsherr beherrscht zu werden, der kein natürliches Rechte auf sein Land hat.;This character resents being ruled by a liege who has no natural rights to their land.;Este personaje está resentido con su Señor que no tiene derechos naturales en estas tierras.;;;;;;;;;x
employ_steward;Invite Master of Coin to Court;Inviter un Grand Argentier à la cour;Invite Master of Coin to Court;Invite Master of Coin to Court;Invitar a un Consejero de la Moneda a la corte;;;;;;;;;x
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;Inviter un noble prometteur à la cour, afin qu’il vous assiste sur le plan administratif;Laden Sie einen viel versprechenden Adligen in den Rat ein, um in Regierungsangelegenheiten zu helfen.;Invite a promising nobleman to court, to aid with matters of administration.;Invitar aun prometedor noble a la corte, para ayudar en materias administrativas.;;;;;;;;;x
employ_chancellor;Invite Master of Laws to Court;Inviter un maître des lois à la cour;Invite Master of Laws to Court;Invite Master of Laws to Court;Invitar a un Consejero de Edictos a la corte;;;;;;;;;x
employ_chancellor_desc;Invite a promising nobleman to court, to aid with diplomatic affairs.;Inviter un noble prometteur à la cour, afin qu’il vous assiste sur le plan diplomatique.;Laden Sie einen viel versprechenden Adligen in den Rat ein, um bei diplomatischen Angelegenheiten zu helfen.;Invite a promising nobleman to court, to aid with diplomatic affairs.;Invitar aun prometedor noble a la corte, para ayudar en asuntos diplomáticos.;;;;;;;;;x
employ_marshal;Invite Master-at-Arms to Court;Inviter un maître d'armes à la Cour.;Invite Master-at-Arms to Court;Invite Master-at-Arms to Court;Invitar a un Maestro de Armas a la corte;;;;;;;;;x
employ_marshal_desc;Invite a promising nobleman to court, to help train your armies.;Inviter un noble prometteur à la cour, pour qu’il supervise l’entraînement de vos gens d’armes.;Laden Sie einen viel versprechenden Adligen in den Rat ein, um dabei zu helfen unsere Armee auszubilden.;Invite a promising nobleman to court, to help train your armies.;Invitar aun prometedor noble a la corte, para ayudar a entrenar a las tropas.;;;;;;;;;x
employ_spymaster;Invite Master of Whisperers to Court;Inviter un maître des chuchoteurs à la cour;Invite Master of Whisperers to Court;Invite Master of Whisperers to Court;Invitar a un Consejero de los Rumores a la corte;;;;;;;;;x
employ_spymaster_desc;Invite a promising nobleman to court, to help run your spy network.;Inviter un noble prometteur à la cour, pour qu’il supervise votre réseaux d’espions.;Laden Sie einen Hofspitzel in den Rat ein der uns hilft ein Spitzelnetzwerk aufzubauen.;Invite a promising nobleman to court, to help run your spy network.;Invitar aun prometedor noble a la corte, para ayudar a tu red de espías.;Invite a promising nobleman to court, to help run your spy network.;;;;;;;;x
underhanded_rogue;Gruff Diplomat;Diplomate brusque;Schroffer Diplomat;;Diplomático brusco;;;;;;;;;x
underhanded_rogue_desc;The Gruff Diplomat is a rough but decently effective diplomat.;Le diplomate brusque est un diplomate grossier mais néanmoins efficace.;Der Schroffe Diplomat ist ein rauer, aber sehr wirksamer Diplomat.;;El diplomático brusco es rudo pero eficaz.;;;;;;;;;x
controls_antipope;Controls the Anti-Pope;Contrôle de l'Anti-Grand Septon;Kontrolliert den Gegenpapst;Controls the Anti-Pope;Control del Antipapa;;;;;;;;;x
desc_controls_antipope;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;Ce personnage entend prendre des décisions sur les affaires du clergé bien qu'il soit un souverain temporel. Cette attitude peut être considérée comme à la limite de l'orthodoxie. ;Dieser Charakter nimmt sich heraus, um über die Angelegenheiten der Kirche zu entscheiden, trotz, seiner zeitlichen Herschaft. Diese Einstellung könnte als ketzerische Grenzlinie angesehen werden.;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;Este personaje pretende ser reconocido o pretende usurpar las funciones y poderes en los asuntos de la iglesia. Esta actitud puede estar considerada al borde de la herejía.;;;;;;;;;x
nick_the_bloody;the Bloody;le Sanglant;der Blutige;the Bloody;el Sangriento;;;;;;;;;x
nick_the_quiverfull;Quiverfull;l'Agité;Köchervoll;Quiverfull;el Agitado;;;;;;;;;x
nick_the_lewd;the Lewd;le Lubrique ;der Unanständige;the Lewd;el Lascivo;;;;;;;;;x
nick_the_dwarf;the Dwarf;le Nain;der Zwerg;the Dwarf;el Enano;;;;;;;;;x
nick_the_fool;the Fool;le Niais ;der Einfältige;the Fool;el Lerdo;;;;;;;;;x
plot_kidnap_liege_title;Kidnap [This.GetTitledFirstNameWithDynasty];Enlever [This.GetTitledFirstNameWithDynasty];Entführe [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Kidnap [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];Secuestrar a [This.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;[From.GetTitledFirstName] a décidé que l'enlèvement constitue le seul moyen de pousser [This.GetTitledFirstName] à abandonner certaines de ses terres. ;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;[From.GetTitledFirstName] ha decidido que el secuestro es la única forma de hacer que [This.GetTitledFirstName] renuncie a algunas de sus tierras.;;;;;;;;;x
dishonorable;Dishonor;Déshonneur;;;Deshonra;;;;;;;;;x
dishonorable1;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable1_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable2;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable2_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable3;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable3_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable4;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable4_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable5;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable5_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable6;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable6_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable7;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable7_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable8;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable8_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable9;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable9_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dishonorable10;Dishonorable;Déshonorable;Unehrenhaft;Dishonorable;Deshonroso;;;;;;;;;x
dishonorable10_desc;This character likes to solve problems through assassinations and is rather poorly regarded because of it.\n\nDishonor decays at a rate of §Y10§! every §Y10§! years;La tendance de ce personnage à user d’assassinats pour résoudre ses problèmes lui vaut une réputation exécrable.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Dieser Charakter behebt gern Probleme durch Morde und wird wegen dieser eher schlecht angesehen.;This character likes to solve problems through assassinations and is rather poorly regarded because of it.;Este personaje gusta de resolver problemas a través de asesinatos y está bastante mal considerado por ello.;;;;;;;;;x
dyn_dishonorable1;Dynastic Stain;Souillure dynastique;Dynastischer Fleck;Dynastic Stain;Mancha dinástica;;;;;;;;;x
dyn_dishonorable1_desc;This character's dynasty is notorious for employing assassins, causing others to fear and mistrust them.\n\nDishonor decays at a rate of §Y10§! every §Y10§! Years;La dynastie de ce personnage est notoirement connue pour employer des assassins, provoquant crainte et soupçon chez autrui.\n\nLe déshonneur décroît de §Y10§! chaque §Y10§! ans;Die Dynastie dieses Charakters ist schon notorisch darin Mörder anzustellen, was andere veranlasst , sie zu fürchten und ihnen zu misstrauen.;This character's dynasty is notorious for employing assassins, causing others to fear and mistrust them.;La dinastía de este personaje es conocida por emplear asesinos, causando en los demás temor y desconfianza hacia ellos.;;;;;;;;;x
